verbatim	code	source
.lhj	0	MF 180621
.lk.kl	0	MF 180621
.-lkj	0	MF 180621
.lkn	0	MF 180621
.lmb j.-ö	0	MF 180621
.m	0	MF 180621
.-m	0	MF 180621
.mnbvc	0	MF 180621
.mxxmc	0	MF 180621
.n	0	MF 180621
.nhj	0	MF 180621
.nhkkm.	0	MF 180621
.nm	0	MF 180621
.ö-ä#	0	MF 180621
.öänlöbk	0	MF 180621
.öjlnbkvlj	0	MF 180621
.öklö	0	MF 180621
.ölk	0	MF 180621
.ölkjhbjkl	0	MF 180621
.ölöbklv	0	MF 180621
.önkbj	0	MF 180621
.uri	0	MF 180621
.v a fedml	0	MF 180621
.-vbhkcgjklö	0	MF 180621
.vdfkn	0	MF 180621
.vgh	155	MF 180621
.zfvi	0	MF 180621
/	0	MF 180621
//	0	MF 180621
//////	0	MF 180621
///////	0	MF 180621
-:	0	MF 180621
:dö	0	MF 180621
:FULRL	0	MF 180621
-:M	0	MF 180621
?	0	MF 180621
? 'Anwalts Liebling'	0	MF 180621
? ARAG	26	MF 180621
? AXA	3	MF 180621
? evtl HUK	17	MF 180621
? gehört habe ich Sie einmal	0	MF 180621
? Hanse Merkur ?	199	MF 180621
? HUK	17	MF 180621
? keine	0	MF 180621
? Kenne mich da nicht aus	0	MF 180621
? Kenne mich ja nicht aus	0	MF 180621
? würtembergische	22	MF 180621
?, Provinzial	18	MF 180621
?? bekannt weiss ich nicht	0	MF 180621
?? ist Anwalts Liebling	0	MF 180621
?? mir fällt nichts ein	0	MF 180621
?? War ne werbung mit magdalena neuner	0	MF 180621
???	0	MF 180621
??? hat einen löwen im logo name kenne ich nicht	0	MF 180621
??? rechtsschutz (DAS???)	6	MF 180621
??? vergessen	0	MF 180621
??? was?	0	MF 180621
??? was??	0	MF 180621
???.... keine...	0	MF 180621
???? fällt mir nicht mehr ein	0	MF 180621
???? würde gar nicht wechseln	0	MF 180621
?????	0	MF 180621
??????	0	MF 180621
?????????????	0	MF 180621
???????????????	0	MF 180621
?????????????????	0	MF 180621
???????????????????	0	MF 180621
?????????????????????	0	MF 180621
????????????????????????	0	MF 180621
???????????????????????ßß	0	MF 180621
???????????????ß	0	MF 180621
????45	0	MF 180621
???-direkt	0	MF 180621
??Weis ich nicht	0	MF 180621
?=OIUGZ	0	MF 180621
?3???3443	0	MF 180621
?ADVOCARD	2	MF 180621
?beste	0	MF 180621
?Ergo	9	MF 180621
?günstigste	0	MF 180621
?HUK??	17	MF 180621
?kaene	0	MF 180621
?ßß	0	MF 180621
[nicht vorhanden]	0	MF 180621
\sdfa32	0	MF 180621
^^	0	MF 180621
^11	0	MF 180621
^Barmer	46	MF 180621
^bea	0	MF 180621
^Betriebskrankenkasse	48	MF 180621
^Cosmos	5	MF 180621
^cosmos direkt	5	MF 180621
^DA Direct	30	MF 180621
^DA Direkt	30	MF 180621
^DAK	47	MF 180621
^Debeka	32	MF 180621
^DEVK	33	MF 180621
^DKV	7	MF 180621
^fkdsnflk	0	MF 180621
^generali	11	MF 180621
^hamb mannheimer	118	MF 180621
^HUK	17	MF 180621
^keine	0	MF 180621
^KKH	188	MF 180621
^looooooooool	0	MF 180621
^MECKLENBURGER	207	MF 180621
^nn	0	MF 180621
^R&V	19	MF 180621
^signal	140	MF 180621
^Techniker Krankenkasse	49	MF 180621
^TZUW$%RETG	0	MF 180621
^vgh	155	MF 180621
^VGH??	155	MF 180621
^w12s12ds	0	MF 180621
^Württembergische	22	MF 180621
^Zurich	23	MF 180621
_	0	MF 180621
_.	0	MF 180621
_.m	0	MF 180621
_Generali	11	MF 180621
`?	0	MF 180621
``	0	MF 180621
--|-	0	MF 180621
-|-|-|-|HUK	17	MF 180621
-|-|keine	0	MF 180621
|AOK	45	MF 180621
|er soll sich informieren	0	MF 180621
|Huk24	16	MF 180621
|jeder muss sich selber informieren und eine Entscheidung treffen.	0	MF 180621
|keine	0	MF 180621
|mit anderen worten ich müsste erst vergleichen...	0	MF 180621
´?	0	MF 180621
´äü	0	MF 180621
´direct Line	8	MF 180621
´fällt mir nicht ein	0	MF 180621
´Gothaer	12	MF 180621
´huk	17	MF 180621
´Huk Coburg	17	MF 180621
´keine	0	MF 180621
´ne Menge	0	MF 180621
´provinzial	18	MF 180621
´r567890	0	MF 180621
´Roland	41	MF 180621
´Sparkasse	310	MF 180621
´ß0	0	MF 180621
´ßßßßßßßßßßß	0	MF 180621
´trdzfg789	0	MF 180621
´üp	0	MF 180621
´VHV	20	MF 180621
„... eine Allianz fürs Leben!“ - Allianz	25	MF 180621
+	0	MF 180621
++	0	MF 180621
+pßu74rvws	0	MF 180621
<	0	MF 180621
<<<<<<<<<<<<aok	0	MF 180621
<<<<<<<<<<<achner Münchner	1	MF 180621
<<devk	33	MF 180621
<Achener	1	MF 180621
<Allianz	25	MF 180621
<AOK	45	MF 180621
<arag	26	MF 180621
<axa	3	MF 180621
<aydfghm	0	MF 180621
<aysx	0	MF 180621
<aysxd	0	MF 180621
<ayx	0	MF 180621
<b<dnfgb	0	MF 180621
<commerzbank	314	MF 180621
<CSADd	0	MF 180621
<dbgvda	0	MF 180621
<eeg<ge<	0	MF 180621
<ergo	9	MF 180621
<erjw	0	MF 180621
<eyrstdzfgu	0	MF 180621
<f	0	MF 180621
<gothaer	12	MF 180621
<HJNZFJ	0	MF 180621
<huk	17	MF 180621
<keine	0	MF 180621
<nürnberger	38	MF 180621
<SDB N<	0	MF 180621
<sdc<sc	0	MF 180621
<sdgan	0	MF 180621
<sfbn hgm	0	MF 180621
<sfjmvbcm	0	MF 180621
<sh	0	MF 180621
<sybdxfgmh	0	MF 180621
<syfbdgxf	0	MF 180621
<tes	0	MF 180621
<wshrejh	0	MF 180621
<x	0	MF 180621
<xdgv	0	MF 180621
<xsca	0	MF 180621
<xyc	0	MF 180621
<y	0	MF 180621
<y<y	0	MF 180621
<y<y<	0	MF 180621
<y<y<y	0	MF 180621
<y<yy	0	MF 180621
<yas	0	MF 180621
<ycfydsvgfdxvfx	0	MF 180621
<ydfgdh	0	MF 180621
<yfsdfsd	0	MF 180621
<ygh	0	MF 180621
<YSDF	0	MF 180621
<yvdyfbgn	0	MF 180621
<yx	0	MF 180621
<yxc	0	MF 180621
<yxcv	0	MF 180621
<yy	0	MF 180621
>>Keine	0	MF 180621
>Adac	24	MF 180621
>Allianz	25	MF 180621
>AOK	45	MF 180621
>Big direkt	187	MF 180621
>DF<	0	MF 180621
>Ergo	9	MF 180621
>fcSDfc	0	MF 180621
>Generali	11	MF 180621
>HUK	17	MF 180621
>keine	0	MF 180621
>Zürich	23	MF 180621
§'	0	MF 180621
§$%&/	0	MF 180621
§$/(	0	MF 180621
§$TZUIKL	0	MF 180621
§§	0	MF 180621
'§§§§§§§§§T&'^&Z	0	MF 180621
§Kbhfbheb	0	MF 180621
§W$%JUKIUL	0	MF 180621
µJ	0	MF 180621
•	0	MF 180621
0|0	0	MF 180621
0000|0000	0	MF 180621
00ö790öoo	0	MF 180621
07p0p	0	MF 180621
0o	0	MF 180621
0ßoujß0poujpo	0	MF 180621
0ßüpijß0üpik´ßü	0	MF 180621
1 & 1	999	MF 180621
1 2 3	0	MF 180621
1- Bettversicherung weiß aber den Namen nicht mehr	0	MF 180621
1 direkt	177	MF 180621
1 Monat oder 6 Monate	0	MF 180621
1 und 1	999	MF 180621
1&1	999	MF 180621
1.2.3 direkt line	8	MF 180621
1:1 Assekuranzservice AG	999	MF 180621
1|2|1	0	MF 180621
1+1	999	MF 180621
10|103	0	MF 180621
111|1|1	0	MF 180621
123 direkt	177	MF 180621
1-2-3 Direkt Line	8	MF 180621
123 versichern	999	MF 180621
123 versicherung	999	MF 180621
1234hjsd	0	MF 180621
123TV	0	MF 180621
12rr	0	MF 180621
13eeeeeerrrrrr	0	MF 180621
14 tage	0	MF 180621
1822 Direkt	902	MF 180621
1822Bankdirekt	902	MF 180621
1822direkt	902	MF 180621
1871 Lebensversicherung	258	MF 180621
1blick	999	MF 180621
1döknek	0	MF 180621
1ff	0	MF 180621
1fff	0	MF 180621
1ffff	0	MF 180621
1fffff	0	MF 180621
1und1	999	MF 180621
1we156	0	MF 180621
2|622|6	0	MF 180621
23456zujk	0	MF 180621
23faewfdsf	0	MF 180621
23r4rtz6w453t6tzje545vb tgtrh 2q b	0	MF 180621
24 de	0	MF 180621
24 direkt	999	MF 180621
24.de	177	MF 180621
24dierkt	999	MF 180621
24Direct	999	MF 180621
24H Check	907	MF 180621
24t24t4tdsf	0	MF 180621
25761 Büsum	0	MF 180621
26|31	0	MF 180621
2etfghjn	0	MF 180621
2q2q	0	MF 180621
2q2w	0	MF 180621
2t	0	MF 180621
2wr2r	0	MF 180621
2wr2wr	0	MF 180621
2ws	0	MF 180621
3 directline	8	MF 180621
3|||||||AOK	45	MF 180621
31k526.llk.	0	MF 180621
321kl.65	0	MF 180621
323e4324e	0	MF 180621
32rewrrw	0	MF 180621
333w	0	MF 180621
33456i7	0	MF 180621
334ega3qew	0	MF 180621
334t5t3q2e 34t5z34w 3 4tgea t	0	MF 180621
34567 Versicherungsmakler	903	MF 180621
34567 Versicherungsmakler GmbH	903	MF 180621
3456zu	0	MF 180621
3456zuj	0	MF 180621
345ztuj	0	MF 180621
34653o78p98tlkruezjhtgrf	0	MF 180621
347z5t	0	MF 180621
34t344	0	MF 180621
34tzq34z3z45z5z	0	MF 180621
34wt3t	0	MF 180621
35467ir8otp90züp87o6iz5	0	MF 180621
3549854sdfxcvdv	0	MF 180621
